Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 2,359,424
  scalars                 : 6
  total                   : 10,748,038
Estimated FLOPs per token: 3.932237e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011044 | lrm: 1.00 | dt: 24086ms | tok/sec: 21,767 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.089343 | lrm: 1.00 | dt: 466ms | tok/sec: 1,124,806 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.928894 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,946 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.583807 | lrm: 1.00 | dt: 567ms | tok/sec: 924,039 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.274641 | lrm: 1.00 | dt: 460ms | tok/sec: 1,138,995 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.003890 | lrm: 1.00 | dt: 461ms | tok/sec: 1,137,371 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.776306 | lrm: 1.00 | dt: 462ms | tok/sec: 1,134,092 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.563563 | lrm: 1.00 | dt: 613ms | tok/sec: 855,348 | mfu: 3.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.367335 | lrm: 1.00 | dt: 569ms | tok/sec: 922,051 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.180249 | lrm: 1.00 | dt: 474ms | tok/sec: 1,105,724 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.011292 | lrm: 1.00 | dt: 430ms | tok/sec: 1,220,068 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.862335 | lrm: 1.00 | dt: 449ms | tok/sec: 1,168,649 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.725455 | lrm: 1.00 | dt: 461ms | tok/sec: 1,138,259 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.604217 | lrm: 1.00 | dt: 439ms | tok/sec: 1,195,158 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.494744 | lrm: 1.00 | dt: 507ms | tok/sec: 1,034,937 | mfu: 4.1% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 6.394271 | lrm: 1.00 | dt: 470ms | tok/sec: 1,114,389 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 6.306653 | lrm: 1.00 | dt: 473ms | tok/sec: 1,108,665 | mfu: 4.4% | epoch: 1 | remaining: 297s    
step 00017 (0.9%) | loss: 6.224117 | lrm: 1.00 | dt: 463ms | tok/sec: 1,132,197 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 6.151408 | lrm: 1.00 | dt: 457ms | tok/sec: 1,148,204 | mfu: 4.6% | epoch: 1 | remaining: 296s    
step 00019 (1.2%) | loss: 6.083105 | lrm: 1.00 | dt: 478ms | tok/sec: 1,096,987 | mfu: 4.4% | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 6.016846 | lrm: 1.00 | dt: 454ms | tok/sec: 1,153,718 | mfu: 4.6% | epoch: 1 | remaining: 295s    
step 00021 (1.5%) | loss: 5.955563 | lrm: 1.00 | dt: 460ms | tok/sec: 1,139,183 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00022 (1.7%) | loss: 5.905822 | lrm: 1.00 | dt: 492ms | tok/sec: 1,065,195 | mfu: 4.2% | epoch: 1 | remaining: 294s    
step 00023 (1.9%) | loss: 5.854910 | lrm: 1.00 | dt: 494ms | tok/sec: 1,062,260 | mfu: 4.2% | epoch: 1 | remaining: 294s    
step 00024 (2.0%) | loss: 5.811730 | lrm: 1.00 | dt: 448ms | tok/sec: 1,168,993 | mfu: 4.6% | epoch: 1 | remaining: 293s    
step 00025 (2.2%) | loss: 5.765203 | lrm: 1.00 | dt: 387ms | tok/sec: 1,355,166 | mfu: 5.4% | epoch: 1 | remaining: 293s    
step 00026 (2.3%) | loss: 5.723766 | lrm: 1.00 | dt: 374ms | tok/sec: 1,402,548 | mfu: 5.6% | epoch: 1 | remaining: 293s    
step 00027 (2.4%) | loss: 5.684105 | lrm: 1.00 | dt: 383ms | tok/sec: 1,370,491 | mfu: 5.4% | epoch: 1 | remaining: 292s    
step 00028 (2.6%) | loss: 5.653090 | lrm: 1.00 | dt: 413ms | tok/sec: 1,268,665 | mfu: 5.0% | epoch: 1 | remaining: 292s    
step 00029 (2.7%) | loss: 5.619530 | lrm: 1.00 | dt: 496ms | tok/sec: 1,057,724 | mfu: 4.2% | epoch: 1 | remaining: 291s    
step 00030 (2.9%) | loss: 5.585751 | lrm: 1.00 | dt: 449ms | tok/sec: 1,166,443 | mfu: 4.6% | epoch: 1 | remaining: 291s    
